Latitude ( ° ),Longitude ( ° ),JAN ( ° ),FEB ( ° ),MAR ( ° ),APR ( ° ),MAY ( ° ),JUN ( ° ),JUL ( ° ),AUG ( ° ),SEP ( ° ),OCT ( ° ),NOV ( ° ),DEC ( ° )
26.75,63.25,53,43,28,14,-1,-7,-4,7,23,39,50,54
26.75,63.75,53,43,28,14,-1,-7,-4,7,23,39,50,54
26.75,64.25,53,43,28,14,-1,-7,-4,7,23,39,50,55
26.75,64.75,53,43,28,14,-1,-7,-4,7,23,39,50,55
26.75,65.25,53,43,28,14,-1,-7,-4,7,23,39,50,55
26.75,65.75,53,43,28,14,-1,-7,-4,7,23,39,50,55
26.75,66.25,52,43,28,14,-1,-7,-4,7,23,38,50,55
26.75,66.75,52,43,28,14,-1,-7,-4,7,23,38,50,55
26.75,67.25,52,42,28,14,-1,-7,-4,7,22,38,49,54
26.75,67.75,52,42,28,14,-1,-7,-4,7,22,38,49,54
26.75,68.25,51,41,27,13,-1,-6,-3,7,22,37,49,54
26.75,68.75,51,41,27,13,-1,-6,-3,7,22,37,49,54
26.75,69.25,51,41,27,13,-1,-6,-3,7,22,37,48,53
27.25,63.25,53,43,29,15,-1,-7,-4,8,24,39,51,55
27.25,63.75,53,43,29,15,-1,-7,-4,8,24,39,51,55
27.25,64.25,53,43,29,15,-1,-7,-4,8,24,39,51,55
27.25,64.75,53,43,29,15,-1,-7,-4,8,24,39,51,55
27.25,65.25,53,44,29,15,-1,-7,-4,8,24,39,52,55
27.25,65.75,53,44,29,15,-1,-7,-4,8,24,39,52,55
27.25,66.25,53,44,29,15,-1,-7,-4,8,23,39,51,55
27.25,66.75,53,44,29,15,-1,-7,-4,8,23,39,51,55
27.25,67.25,53,43,28,14,-1,-6,-4,8,23,38,50,54
27.25,67.75,53,43,28,14,-1,-6,-4,8,23,38,50,54
27.25,68.25,53,43,28,14,-1,-7,-4,7,23,38,50,55
27.25,68.75,53,43,28,14,-1,-7,-4,7,23,38,50,55
27.25,69.25,52,42,27,14,-1,-6,-3,7,22,37,49,54
27.75,63.25,54,44,29,15,0,-6,-4,9,25,40,51,55
27.75,63.75,54,44,29,15,0,-6,-4,9,25,40,51,55
27.75,64.25,54,44,30,15,0,-7,-4,9,25,40,52,55
27.75,64.75,54,44,30,15,0,-7,-4,9,25,40,52,55
27.75,65.25,54,45,30,16,0,-6,-4,9,24,40,52,56
27.75,65.75,54,45,30,16,0,-6,-4,9,24,40,52,56
27.75,66.25,54,44,29,15,0,-6,-3,8,24,39,51,56
27.75,66.75,54,44,29,15,0,-6,-3,8,24,39,51,56
27.75,67.25,53,44,29,15,0,-6,-3,8,23,39,50,55
27.75,67.75,53,44,29,15,0,-6,-3,8,23,39,50,55
27.75,68.25,53,44,29,15,0,-6,-3,8,23,38,50,55
27.75,68.75,53,44,29,15,0,-6,-3,8,23,38,50,55
27.75,69.25,52,43,28,14,0,-6,-3,8,23,38,49,54
27.75,69.75,52,43,28,14,0,-6,-3,8,23,38,49,54
27.75,70.75,52,43,28,15,0,-6,-3,8,23,38,50,54
28.25,63.25,53,44,29,16,0,-6,-3,9,25,40,51,55
28.25,63.75,53,44,29,16,0,-6,-3,9,25,40,51,55
28.25,64.25,53,44,29,15,0,-6,-3,9,25,40,51,55
28.25,64.75,53,44,29,15,0,-6,-3,9,25,40,51,55
28.25,65.25,54,45,30,17,0,-6,-3,10,26,41,52,56
28.25,65.75,54,45,30,17,0,-6,-3,10,26,41,52,56
28.25,66.25,54,45,30,16,0,-6,-3,9,25,40,52,57
28.25,66.75,54,45,30,16,0,-6,-3,9,25,40,52,57
28.25,67.25,53,43,28,15,0,-5,-2,8,24,39,51,55
28.25,67.75,53,43,28,15,0,-5,-2,8,24,39,51,55
28.25,68.25,53,43,28,15,0,-6,-3,9,23,38,50,55
28.25,68.75,53,43,28,15,0,-6,-3,9,23,38,50,55
28.25,69.25,54,44,29,16,0,-6,-3,9,24,39,51,56
28.25,69.75,54,44,29,16,0,-6,-3,9,24,39,51,56
28.25,70.25,53,44,29,16,0,-6,-3,9,24,38,50,55
28.25,70.75,53,44,29,16,0,-6,-3,9,24,38,50,55
28.25,71.25,52,43,28,15,0,-6,-3,8,23,38,50,55
28.25,71.75,52,43,28,15,0,-6,-3,8,23,38,50,55
28.75,61.75,54,45,30,16,0,-5,-3,10,25,40,52,56
28.75,62.25,54,45,30,16,0,-5,-3,10,25,40,52,56
28.75,62.75,54,45,30,16,0,-5,-3,10,25,40,52,56
28.75,63.25,54,44,29,16,0,-5,-3,10,25,41,52,55
28.75,63.75,54,44,29,16,0,-5,-3,10,25,41,52,55
28.75,64.25,54,44,30,16,0,-5,-3,10,25,40,52,56
28.75,64.75,54,44,30,16,0,-5,-3,10,25,40,52,56
28.75,65.25,54,45,31,17,0,-6,-3,10,26,41,53,57
28.75,65.75,54,45,31,17,0,-6,-3,10,26,41,53,57
28.75,66.25,55,45,30,17,0,-6,-3,10,25,41,53,57
28.75,66.75,55,45,30,17,0,-6,-3,10,25,41,53,57
28.75,67.25,53,44,29,15,0,-5,-2,9,24,39,51,55
28.75,67.75,53,44,29,15,0,-5,-2,9,24,39,51,55
28.75,68.25,54,44,28,16,0,-5,-2,9,24,39,51,56
28.75,68.75,54,44,28,16,0,-5,-2,9,24,39,51,56
28.75,69.25,54,45,30,17,0,-6,-3,10,24,39,51,56
28.75,69.75,54,45,30,17,0,-6,-3,10,24,39,51,56
28.75,70.25,54,44,29,16,0,-6,-3,9,24,39,51,56
28.75,70.75,54,44,29,16,0,-6,-3,9,24,39,51,56
28.75,71.25,53,43,29,16,0,-5,-2,9,24,38,50,55
28.75,71.75,53,43,29,16,0,-5,-2,9,24,38,50,55
28.75,72.25,53,43,29,16,0,-5,-2,9,24,38,50,55
29.25,61.75,54,45,30,17,0,-5,-2,11,26,41,52,56
29.25,62.25,54,44,29,16,0,-5,-2,10,26,40,51,56
29.25,62.75,54,44,29,16,0,-5,-2,10,26,40,51,56
29.25,63.25,55,46,31,18,0,-6,-3,11,27,42,53,57
29.25,63.75,55,46,31,18,0,-6,-3,11,27,42,53,57
29.25,64.25,55,46,30,17,0,-5,-2,11,26,42,53,57
29.25,64.75,55,46,30,17,0,-5,-2,11,26,42,53,57
29.25,65.25,55,46,31,18,0,-6,-3,12,28,42,53,57
29.25,65.75,55,46,31,18,0,-6,-3,12,28,42,53,57
29.25,66.25,55,46,31,18,0,-6,-3,11,27,42,53,58
29.25,66.75,55,46,31,18,0,-6,-3,11,27,42,53,58
29.25,67.25,54,45,30,17,0,-5,-2,10,26,41,53,57
29.25,67.75,54,45,30,17,0,-5,-2,10,26,41,53,57
29.25,68.25,55,46,31,18,0,-6,-3,11,27,41,53,57
29.25,68.75,55,46,31,18,0,-6,-3,11,27,41,53,57
29.25,69.25,55,46,31,17,0,-5,-2,11,26,40,52,57
29.25,69.75,55,46,31,17,0,-5,-2,11,26,40,52,57
29.25,70.25,54,45,30,16,0,-5,-2,10,24,39,51,56
29.25,70.75,54,45,30,16,0,-5,-2,10,24,39,51,56
29.25,71.25,54,45,30,16,0,-5,-2,10,24,39,51,56
29.25,71.75,54,45,30,16,0,-5,-2,10,24,39,51,56
29.25,72.25,53,43,29,15,0,-4,-2,9,24,39,51,55
29.25,72.75,53,43,29,15,0,-4,-2,9,24,39,51,55
29.75,66.25,55,46,31,19,0,-5,-2,12,28,43,54,58
29.75,66.75,55,46,31,19,0,-5,-2,12,28,43,54,58
29.75,67.25,55,46,31,18,0,-5,-2,11,26,41,53,57
29.75,67.75,55,46,31,18,0,-5,-2,11,26,41,53,57
29.75,68.25,55,46,31,18,0,-5,-2,12,27,41,53,57
29.75,68.75,55,46,31,18,0,-5,-2,12,27,41,53,57
29.75,69.25,55,46,31,18,0,-5,-2,11,26,41,52,57
29.75,69.75,55,46,31,18,0,-5,-2,11,26,41,52,57
29.75,70.25,55,45,30,17,1,-4,-2,10,25,40,52,57
29.75,70.75,55,45,30,17,1,-4,-2,10,25,40,52,57
29.75,71.25,55,45,30,17,1,-4,-2,10,25,40,52,56
29.75,71.75,55,45,30,17,1,-4,-2,10,25,40,52,56
29.75,72.25,53,44,29,16,1,-4,-1,10,24,39,51,56
29.75,72.75,53,44,29,16,1,-4,-1,10,24,39,51,56
29.75,73.25,53,43,29,16,1,-4,-1,10,24,39,51,55
30.25,66.75,55,46,32,19,1,-5,-2,13,29,44,55,58
30.25,67.25,55,45,31,19,1,-4,-2,12,27,43,55,58
30.25,67.75,55,45,31,19,1,-4,-2,12,27,43,55,58
30.25,68.25,55,46,31,18,1,-4,-1,11,27,42,54,58
30.25,68.75,55,46,31,18,1,-4,-1,11,27,42,54,58
30.25,69.25,56,46,31,17,1,-4,-1,11,25,41,53,58
30.25,69.75,56,46,31,17,1,-4,-1,11,25,41,53,58
30.25,70.25,54,44,30,16,1,-3,-1,10,25,40,52,56
30.25,70.75,54,44,30,16,1,-3,-1,10,25,40,52,56
30.25,71.25,54,44,29,16,1,-4,-1,10,25,40,52,56
30.25,71.75,54,44,29,16,1,-4,-1,10,25,40,52,56
30.25,72.25,53,44,29,17,1,-4,-1,10,25,40,52,56
30.25,72.75,53,44,29,17,1,-4,-1,10,25,40,52,56
30.25,73.25,54,45,30,17,1,-4,-1,11,25,40,53,57
30.25,73.75,54,45,30,17,1,-4,-1,11,25,40,53,57
30.75,66.75,56,46,32,20,2,-5,-2,14,29,44,55,59
30.75,67.25,55,46,32,19,2,-4,-1,13,28,43,55,58
30.75,67.75,55,46,32,19,2,-4,-1,13,28,43,55,58
30.75,68.25,56,46,31,19,2,-4,-1,12,27,43,54,59
30.75,68.75,56,46,31,19,2,-4,-1,12,27,43,54,59
30.75,69.25,56,46,31,17,2,-4,-1,11,26,41,53,58
30.75,69.75,56,46,31,17,2,-4,-1,11,26,41,53,58
30.75,70.25,55,45,30,17,2,-3,-1,11,25,41,52,57
30.75,70.75,55,45,30,17,2,-3,-1,11,25,41,52,57
30.75,71.25,54,44,30,17,2,-3,-1,11,25,40,52,56
30.75,71.75,54,44,30,17,2,-3,-1,11,25,40,52,56
30.75,72.25,54,44,30,17,2,-3,-1,11,25,40,52,56
30.75,72.75,54,44,30,17,2,-3,-1,11,25,40,52,56
30.75,73.25,55,46,31,18,2,-4,-1,11,26,41,53,57
30.75,73.75,55,46,31,18,2,-4,-1,11,26,41,53,57
30.75,74.25,55,46,32,19,2,-4,-1,11,26,42,54,58
31.25,67.75,56,46,32,20,2,-4,-1,13,29,44,56,59
31.25,68.25,56,47,32,19,2,-3,-1,13,28,44,55,59
31.25,68.75,56,47,32,19,2,-3,-1,13,28,44,55,59
31.25,69.25,56,47,31,18,2,-3,-1,12,27,43,54,59
31.25,69.75,56,47,31,18,2,-3,-1,12,27,43,54,59
31.25,70.25,55,45,31,18,2,-3,0,12,26,41,53,58
31.25,70.75,55,45,31,18,2,-3,0,12,26,41,53,58
31.25,71.25,55,46,31,18,2,-3,0,12,26,41,53,57
31.25,71.75,55,46,31,18,2,-3,0,12,26,41,53,57
31.25,72.25,55,45,31,19,2,-4,-1,12,27,41,53,57
31.25,72.75,55,45,31,19,2,-4,-1,12,27,41,53,57
31.25,73.25,55,45,31,18,2,-3,0,12,26,42,54,58
31.25,73.75,55,45,31,18,2,-3,0,12,26,42,54,58
31.25,74.25,54,45,31,19,2,-3,0,11,26,42,54,57
31.75,68.25,57,47,32,20,3,-3,0,14,29,44,56,59
31.75,69.25,56,47,32,19,3,-3,0,13,28,43,55,59
31.75,69.75,56,47,32,19,3,-3,0,13,28,43,55,59
31.75,70.25,56,46,31,18,3,-3,0,12,27,42,54,58
31.75,70.75,56,46,31,18,3,-3,0,12,27,42,54,58
31.75,71.25,56,46,31,18,3,-3,0,12,26,42,53,58
31.75,71.75,56,46,31,18,3,-3,0,12,26,42,53,58
31.75,72.25,55,46,32,19,3,-3,0,13,27,42,54,58
31.75,72.75,55,46,32,19,3,-3,0,13,27,42,54,58
31.75,73.25,55,46,31,19,3,-3,0,12,27,42,54,58
31.75,73.75,55,46,31,19,3,-3,0,12,27,42,54,58
31.75,74.25,54,46,32,19,3,-3,0,12,27,43,54,58
32.25,69.75,57,47,32,20,4,-3,0,14,29,44,56,59
32.25,70.25,56,46,31,19,4,-2,0,13,27,43,55,58
32.25,70.75,56,46,31,19,4,-2,0,13,27,43,55,58
32.25,71.25,56,46,32,20,4,-3,0,14,27,43,54,58
32.25,71.75,56,46,32,20,4,-3,0,14,27,43,54,58
32.25,72.25,56,46,32,20,3,-3,0,13,27,43,55,58
32.25,72.75,56,46,32,20,3,-3,0,13,27,43,55,58
32.25,73.25,55,46,32,20,3,-3,0,13,27,43,55,58
32.25,73.75,55,46,32,20,3,-3,0,13,27,43,55,58
32.25,74.25,55,46,32,20,3,-3,0,13,28,44,55,58
32.25,74.75,55,46,32,20,3,-3,0,13,28,44,55,58
32.25,75.25,55,46,32,20,3,-3,0,12,28,44,55,59
32.75,69.75,57,48,32,20,4,-3,0,15,29,44,56,60
32.75,70.25,56,46,32,20,4,-2,0,14,28,43,55,59
32.75,70.75,56,46,32,20,4,-2,0,14,28,43,55,59
32.75,71.25,56,47,32,20,5,-2,0,14,28,43,55,59
32.75,71.75,56,47,32,20,5,-2,0,14,28,43,55,59
32.75,72.25,56,46,32,20,4,-2,0,14,28,43,55,59
32.75,72.75,56,46,32,20,4,-2,0,14,28,43,55,59
32.75,73.25,56,46,32,20,4,-2,0,13,28,44,55,59
32.75,73.75,56,46,32,20,4,-2,0,13,28,44,55,59
32.75,74.25,56,46,32,20,4,-3,0,13,28,44,55,59
33.25,70.25,57,47,33,20,5,-2,0,15,29,44,56,60
33.25,70.75,57,47,33,20,5,-2,0,15,29,44,56,60
33.25,71.25,57,46,32,20,5,-2,0,14,28,44,56,59
33.25,71.75,57,46,32,20,5,-2,0,14,28,44,56,59
33.25,72.25,57,46,32,21,5,-2,0,14,28,44,56,59
33.25,72.75,57,46,32,21,5,-2,0,14,28,44,56,59
33.25,73.25,56,46,32,21,5,-2,0,14,29,45,56,59
33.25,73.75,56,46,32,21,5,-2,0,14,29,45,56,59
33.75,70.25,58,48,33,21,5,-2,0,15,29,45,56,60
33.75,70.75,58,48,33,21,5,-2,0,15,29,45,56,60
33.75,71.25,57,47,32,21,5,-2,0,15,29,45,56,60
33.75,71.75,57,47,32,21,5,-2,0,15,29,45,56,60
33.75,72.25,57,47,33,21,5,-2,0,15,29,45,56,59
33.75,72.75,57,47,33,21,5,-2,0,15,29,45,56,59
33.75,73.25,57,47,33,21,5,-2,0,15,29,45,56,59
33.75,73.75,57,47,33,21,5,-2,0,15,29,45,56,59
34.25,71.25,58,48,34,22,6,-2,0,16,30,45,57,60
34.25,71.75,58,48,34,22,6,-2,0,16,30,45,57,60
34.25,72.25,58,47,33,22,6,-2,0,16,31,46,57,60
34.25,72.75,58,47,33,22,6,-2,0,16,31,46,57,60
34.25,73.25,57,47,33,22,6,-1,0,16,30,45,56,60
34.25,73.75,57,47,33,22,6,-1,0,16,30,45,56,60
34.75,71.25,58,48,34,23,7,-1,1,17,31,46,57,61
34.75,71.75,58,48,34,23,7,-1,1,17,31,46,57,61
34.75,72.25,58,48,34,23,7,-1,1,17,31,46,57,61
34.75,72.75,58,48,34,23,7,-1,1,17,31,46,57,61
34.75,73.25,58,47,33,22,7,-1,1,16,30,46,57,60
34.75,73.75,58,47,33,22,7,-1,1,16,30,46,57,60
34.75,74.25,58,48,34,21,6,-1,1,16,29,44,56,60
34.75,74.75,58,48,34,21,6,-1,1,16,29,44,56,60
34.75,75.25,60,51,37,24,7,-1,1,17,30,46,58,62
34.75,75.75,60,51,37,24,7,-1,1,17,30,46,58,62
34.75,76.25,61,52,39,26,8,-1,1,17,31,46,58,62
35.25,71.75,59,49,35,23,7,-1,1,18,31,45,57,61
35.25,72.25,59,49,35,23,8,-1,1,18,31,46,57,61
35.25,72.75,59,49,35,23,8,-1,1,18,31,46,57,61
35.25,73.25,59,49,36,23,8,0,1,17,30,45,57,61
35.25,73.75,59,49,36,23,8,0,1,17,30,45,57,61
35.25,74.25,59,50,37,24,8,0,1,17,30,46,57,61
35.25,74.75,59,50,37,24,8,0,1,17,30,46,57,61
35.25,75.25,60,51,37,25,8,0,1,17,31,46,58,61
35.25,75.75,60,51,37,25,8,0,1,17,31,46,58,61
35.25,76.25,60,52,38,26,8,0,1,18,31,47,58,62
35.25,76.75,60,52,38,26,8,0,1,18,31,47,58,62
35.75,71.75,59,49,36,24,8,0,2,19,31,45,57,61
35.75,72.25,59,49,36,24,8,0,2,19,32,46,58,62
35.75,72.75,59,49,36,24,8,0,2,19,32,46,58,62
35.75,73.25,59,50,36,24,8,0,2,18,31,45,57,61
35.75,73.75,59,50,36,24,8,0,2,18,31,45,57,61
35.75,74.25,60,50,37,25,9,0,2,18,31,46,58,62
35.75,74.75,60,50,37,25,9,0,2,18,31,46,58,62
35.75,75.25,60,51,38,26,9,0,2,18,31,46,58,62
35.75,75.75,60,51,38,26,9,0,2,18,31,46,58,62
35.75,76.25,61,52,38,26,9,0,2,18,32,47,58,62
36.25,71.75,62,53,39,27,10,0,3,21,34,48,59,63
36.25,72.25,61,52,38,26,10,0,3,20,33,47,59,63
36.25,72.75,61,52,38,26,10,0,3,20,33,47,59,63
36.25,73.25,61,52,39,27,10,0,3,20,33,47,59,63
36.25,73.75,61,52,39,27,10,0,3,20,33,47,59,63
36.25,74.25,60,52,39,26,10,0,3,19,32,47,58,62
36.25,74.75,60,52,39,26,10,0,3,19,32,47,58,62
36.25,75.25,62,53,40,28,10,0,3,19,32,48,59,63
36.25,75.75,62,53,40,28,10,0,3,19,32,48,59,63
36.75,72.25,61,53,39,27,11,0,4,21,34,48,59,63
36.75,72.75,61,53,39,27,11,0,4,21,34,48,59,63
36.75,73.25,62,53,40,28,11,0,4,21,33,48,59,64
36.75,73.75,62,53,40,28,11,0,4,21,33,48,59,64
36.75,74.25,61,52,39,27,11,0,4,20,32,47,59,63
36.75,74.75,61,52,39,27,11,0,4,20,32,47,59,63
36.75,75.25,62,54,40,28,11,0,4,20,32,48,60,64
